title,link
"""
        Semana Nacional de Museus terá atividades em Bauru; veja programação
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=16&r=1684280166233&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fbauru-marilia%2Fnoticia%2F2023%2F05%2F14%2Fsemana-nacional-de-museus-tera-atividades-em-bauru-veja-programacao.ghtml&syn=False&key=a0708be0b8924bd44ef5905d68ca7990"""
"""
        Na retomada da quermesse da Festa do Divino, organização mantém projeto de sustentabilidade 'Divino Verde'
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=17&r=1684280166238&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fmogi-das-cruzes-suzano%2Ffesta-do-divino%2Fnoticia%2F2023%2F05%2F01%2Fna-retomada-da-quermesse-da-festa-do-divino-organizacao-mantem-projeto-de-sustentabilidade-divino-verde.ghtml&syn=False&key=8cb90ca9c54e67263cbecf658f711ef4"""
"""
        Profissões do setor da tecnologia e sustentabilidade estão em alta em 2023
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=18&r=1684280166242&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11583053%2F&syn=False&key=d9e63302b72e17cc9361c52c564e4789"""
"""
        UFRR promove evento sobre biodiversidade e sustentabilidade na Amazônia Setentrional
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=19&r=1684280166246&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F04%2F26%2Fufrr-promove-evento-sobre-biodiversidade-e-sustentabilidade-na-amazonia-setentrional.ghtml&syn=False&key=66575fd0ea5470598164b0c1bdb0d295"""
"""
        Semana Nacional de Museus tem programação especial no Sertão de Pernambuco
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=20&r=1684280166251&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11618701%2F&syn=False&key=1f510a3a3137180bc855ea6e6b5747d9"""
"""
        Maringá caminha a passos largos para o futuro
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=21&r=1684280166255&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fparana%2Fespecial-publicitario%2Fconstrutora-taec%2Fnoticia%2F2023%2F05%2F08%2Fmaringa-caminha-a-passos-largos-para-o-futuro.ghtml&syn=False&key=a7b51001fff7bcfd914a3f741def343c"""
"""
        Agrosudeste apresenta inovações tecnológicas incluindo a sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=22&r=1684280166259&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11555444%2F&syn=False&key=2fa9479d8d4fad86fc61d63411181a08"""
"""
        AGROTECNOLEITE COMPLEM 2023: Sustentabilidade é empreender pensando no futuro, preservando as raízes
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=23&r=1684280166264&u=https%3A%2F%2Fg1.globo.com%2Fgo%2Fgoias%2Fespecial-publicitario%2Fcomplem%2Fnoticia%2F2023%2F04%2F25%2Fagrotecnoleite-complem-2023-sustentabilidade-e-empreender-pensando-no-futuro-preservando-as-raizes.ghtml&syn=False&key=3b6ba68b97810d4de896377dc27a1389"""
"""
        Lixo 100% reciclado e 'carbono zero': conheça as ações de sustentabilidade do STL Festival
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=24&r=1684280166268&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fsul-de-minas%2Fstl-festival%2Fnoticia%2F2023%2F04%2F25%2Flixo-100percent-reciclado-e-carbono-zero-conheca-as-acoes-de-sustentabilidade-do-stl-festival.ghtml&syn=False&key=37ddf0fd52c4eea0bf6a1043430c6aa0"""
"""
        The Ocean Race valoriza a sustentabilidade
      ""","""//g1.globo.com/busca/click?q=sustentabilidade&p=25&r=1684280166272&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11549675%2F&syn=False&key=27318a102c563cada32268dfac9976d1"""
