title,link
"""
        Após 14 anos, Lula volta ao G7 para discutir guerra na Ucrânia, fome e preservação ambiental
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=360&r=1684280109746&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2023%2F05%2F16%2Fapos-14-anos-lula-volta-ao-g7-para-discutir-guerra-na-ucrania-fome-e-preservacao-ambiental.ghtml&syn=False&key=d922b60644ee15e65b026027f3b95dbc"""
"""
        Sistema de manejo garante pesca legal e sustentável do pirarucu no Amazonas; veja como é
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=370&r=1684280110383&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11018578%2F&syn=False&key=58e70c4250106252affc6e6053c605b1"""
"""
        Cosméticos em barra são opção sustentável para reduzir embalagens plásticas na indústria da beleza
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=373&r=1684280110471&u=https%3A%2F%2Fg1.globo.com%2Fempreendedorismo%2Fpegn%2Fnoticia%2F2022%2F10%2F16%2Fcosmeticos-em-barra-sao-opcao-sustentavel-para-reduzir-embalagens-plasticas-na-industria-da-beleza.ghtml&syn=False&key=b65992bc96566ce3ba944b277ef77677"""
"""
        Sistema de manejo garante pesca legal e sustentável do pirarucu no Amazonas; veja como funciona
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=375&r=1684280110480&u=https%3A%2F%2Fg1.globo.com%2Fprofissao-reporter%2Fnoticia%2F2022%2F10%2F12%2Fsistema-de-manejo-garante-pesca-legal-e-sustentavel-do-pirarucu-no-amazonas-veja-como-funciona.ghtml&syn=False&key=37a373eefdadc9b198fb7e99d4a9bb28"""
"""
        ONG concede crédito a pequenos agricultores para a produção de cacau sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=380&r=1684280110917&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fagronegocios%2Fglobo-rural%2Fnoticia%2F2022%2F09%2F04%2Fong-concede-credito-a-pequenos-agricultores-para-a-producao-de-cacau-sustentavel.ghtml&syn=False&key=77aecd6eb71bfb45ff0cd79ae28553cc"""
"""
        Brechós apostam no desapego e moda sustentável para atrair clientes
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=392&r=1684280111419&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10906355%2F&syn=False&key=c8326e4f50ded0ebdc80f98b9e7a37ce"""
"""
        Pequenos agricultores de Petrolina são beneficiados com projeto sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=395&r=1684280111423&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10813518%2F&syn=False&key=bef0d83f4c12005c1bc2b772f82ed5bf"""
"""
        Orlando Pessuti (MDB), candidato ao Senado pelo Paraná, fala sobre agricultura sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=398&r=1684280111428&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fparana%2Fvideo%2Forlando-pessuti-mdb-candidato-ao-senado-pelo-parana-fala-sobre-agricultura-sustentavel-10951452.ghtml&syn=False&key=750b20a14b9e9995ebdbb9ec0dc29741"""
"""
        ICA implanta sistema sustentável para produção de carvão vegetal
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=399&r=1684280111430&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10885437%2F&syn=False&key=7de4a4c8a505523f73989164de28fd95"""
"""
        ICA implanta sistema sustentável para produção de carvão vegetal
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=400&r=1684280111432&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10885626%2F&syn=False&key=fa0447e87a788a1f57775a774bca3754"""
"""
        Pesca sustentável do pirarucu leva benefícios a comunidades do Amazonas: 'Gera renda, o manejo para nós representa vida'
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=402&r=1684280111434&u=https%3A%2F%2Fg1.globo.com%2Fprofissao-reporter%2Fnoticia%2F2022%2F10%2F13%2Fpesca-sustentavel-do-pirarucu-leva-beneficios-a-comunidades-do-amazonas-gera-renda-o-manejo-para-nos-representa-vida.ghtml&syn=False&key=5027b5c0c373d34dc0278d4aea8f17f9"""
"""
        Simone Tebet (MDB) responde a pergunta sobre desenvolvimento sustentável
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=403&r=1684280111435&u=https%3A%2F%2Fg1.globo.com%2Fglobonews%2Fcentral-das-eleicoes%2Fvideo%2Fsimone-tebet-mdb-responde-a-pergunta-sobre-desenvolvimento-sustentavel-10790722.ghtml&syn=False&key=faa38e7afba361020e56833fc19c844b"""
"""
        Cosméticos em barra são opção sustentável para reduzir embalagens plásticas na indústria da beleza
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=404&r=1684280111437&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11029519%2F&syn=False&key=27f58beacf0180994eaf11e888bcf1ef"""
"""
        Crianças aprendem a cultivar horta de forma sustentável, em Campina Grande
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=405&r=1684280111438&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10941551%2F&syn=False&key=1cf7e9b1b4405f9d01318a41aedaaf11"""
"""
        Cosméticos em barra são opção sustentável para reduzir embalagens plásticas na indústria da beleza
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=406&r=1684280111943&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11029519%2F&syn=False&key=27f58beacf0180994eaf11e888bcf1ef"""
"""
        Crianças aprendem a cultivar horta de forma sustentável, em Campina Grande
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=407&r=1684280111947&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10941551%2F&syn=False&key=1cf7e9b1b4405f9d01318a41aedaaf11"""
"""
        Feira tecnológica apresenta projetos nas áreas de inteligência artificial, saúde e consumo sustentável em MG
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=409&r=1684280111955&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fsul-de-minas%2Fnoticia%2F2022%2F09%2F21%2Ffeira-tecnologica-apresenta-projetos-de-inteligencia-artificial-saude-e-consumo-sustentavel-em-mg.ghtml&syn=False&key=b6488b461a03856fa4e3ebc676b9a25b"""
"""
        Projeto com sistema de agrofloresta é implantado para promover produção sustentável em Sinop (MT)
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=411&r=1684280111961&u=https%3A%2F%2Fg1.globo.com%2Fmt%2Fmato-grosso%2Fmaisagromt%2Fnoticia%2F2022%2F09%2F23%2Fprojeto-com-sistema-de-agrofloresta-e-implantado-para-promover-producao-sustentavel-em-sinop-mt.ghtml&syn=False&key=45445f2a20efc1471be8638120c05a44"""
"""
        Programa oferece vagas em quatro oficinas gratuitas sobre culinária sustentável em Paulínia
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=412&r=1684280111966&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fcampinas-regiao%2Fnoticia%2F2022%2F08%2F11%2Fprograma-oferece-vagas-em-quatro-oficinas-gratuitas-sobre-culinaria-sustentavel-em-paulinia.ghtml&syn=False&key=c517d575c9a5a7ec5b9a6bf17afcded4"""
"""
        Instituto Juruti Sustentável elege nova diretoria e conselhos; veja nova composição
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=413&r=1684280111970&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fsantarem-regiao%2Fnoticia%2F2022%2F08%2F15%2Finstituto-juruti-sustentavel-elege-nova-diretoria-e-conselhos-veja-nova-composicao.ghtml&syn=False&key=c2d9673d43bb0dadf129a753fc332016"""
"""
        Projeto desenvolvido no Sertão de Sergipe promove recuperação sustentável da Caatinga
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=414&r=1684280111974&u=https%3A%2F%2Fg1.globo.com%2Fse%2Fsergipe%2Fnoticia%2F2022%2F08%2F12%2Fprojeto-desenvolvido-no-sertao-de-sergipe-promove-recuperacao-sustentavel-da-caatinga.ghtml&syn=False&key=75e309116dfac463f3b2450e906fc6a5"""
"""
        Extrativistas paraenses fortalecem cadeia sustentável e economia
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=415&r=1684280111979&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10686514%2F&syn=False&key=8f9063228110b249c34fe2a6871055cf"""
"""
        Manejo florestal sustentável é tema de evento no nortão
      ""","""//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=416&r=1684280111982&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F10783043%2F&syn=False&key=e4793eb443aa0f9a8990df3e6dece307"""
