titulo,link
"
        Hospital recebe recertificação como signatário do Movimento de Objetivos de Desenvolvimento Sustentável (ODS)
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=14&r=1684280090826&u=https%3A%2F%2Fg1.globo.com%2Fsc%2Fsanta-catarina%2Fespecial-publicitario%2Fgrupo-ezos%2Fgrupo-ezos%2Fnoticia%2F2023%2F04%2F25%2Fhospital-recebe-recertificacao-como-signatario-do-movimento-de-objetivos-de-desenvolvimento-sustentavel-ods.ghtml&syn=False&key=1eeb1a1bbca552c1c9cff0eba198c387
"
        Segunda edição da ExpoAmazônia Bio&Tic é lançada em Manaus
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=15&r=1684280090828&u=https%3A%2F%2Fg1.globo.com%2Fam%2Famazonas%2Fnoticia%2F2023%2F05%2F11%2Fsegunda-edicao-da-expoamazonia-bioandtic-e-lancada-em-manaus.ghtml&syn=False&key=85348255b4b0f47edaadaf822b95658b
"
        Projeto de empreendedorismo sustentável para jovens recebe inscrições até domingo, 7
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=16&r=1684280091300&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fsantarem-regiao%2Fnoticia%2F2023%2F05%2F05%2Fprojeto-de-empreendedorismo-sustentavel-para-jovens-recebe-inscricoes-ate-domingo-7.ghtml&syn=False&key=dcd90da9d605f1ff821f5f308e5bf31c
"
        Aeroporto Regional da Zona da Mata é o primeiro do Brasil a receber selo internacional de construção sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=17&r=1684280091305&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Fzona-da-mata%2Fnoticia%2F2023%2F05%2F07%2Faeroporto-regional-da-zona-da-mata-e-o-primeiro-do-brasil-a-receber-selo-internacional-de-construcao-sustentavel.ghtml&syn=False&key=281519a83bb0604de618fbfc114df012
"
        Cooperativas de crédito paraenses encontram nos princípios ESG o caminho para um futuro sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=18&r=1684280091309&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fpara%2Fespecial-publicitario%2Fsicoob%2Fcooperativismo%2Fnoticia%2F2023%2F05%2F02%2Fcooperativas-de-credito-paraenses-encontram-nos-principios-esg-o-caminho-para-um-futuro-sustentavel.ghtml&syn=False&key=b4e829b2fc52a2ff56eb142af0f59f05
"
        Turismo sustentável é debatido em Natal
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=19&r=1684280091312&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11573488%2F&syn=False&key=5d58d9b365669d77b4b67d2f39118f5d
"
        Governo disponibiliza Plano de Desenvolvimento Socioeconômico Sustentável do Acre
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=20&r=1684280091316&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11583984%2F&syn=False&key=eaf35a1a2f8fec740b939a67ec62b235
"
        A fascinante história da ilha que deu origem à cidade de Nova York e foi vendida por US$ 1
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=21&r=1684280091319&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2023%2F05%2F15%2Fa-fascinante-historia-da-ilha-que-deu-origem-a-cidade-de-nova-york-e-foi-vendida-por-us-1.ghtml&syn=False&key=0a0285620b7a57eb25035e401e50d511
"
        Entrevista com Ernesto Polcuch, diretor de Ciência da Unesco para América Latina e Caribe
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=22&r=1684280091322&u=https%3A%2F%2Fg1.globo.com%2Fglobonews%2Fespecial-de-domingo%2Fvideo%2Fentrevista-com-ernesto-polcuch-diretor-de-ciencia-da-unesco-para-america-latina-e-caribe-11617125.ghtml&syn=False&key=8c82ccfc6cddc029b6031ee5a9c93393
"
        Atrasada 7 anos, revisão do Plano Diretor de Capivari começa a ser discutida com foco em enchentes e desenvolvimento sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=23&r=1684280091395&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fpiracicaba-regiao%2Fnoticia%2F2023%2F05%2F03%2Fatrasada-7-anos-revisao-do-plano-diretor-de-capivari-comeca-a-ser-discutida-com-foco-em-enchentes-e-desenvolvimento-sustentavel.ghtml&syn=False&key=8fbd70d9862b09537d73d8bc60aa7482
"
        88ª ExpoZebu dará destaque para pecuária sustentável, carne e carbono
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=24&r=1684280091400&u=https%3A%2F%2Fg1.globo.com%2Fmg%2Ftriangulo-mineiro%2Fespecial-publicitario%2Fabcz%2Fexpozebu%2Fnoticia%2F2023%2F04%2F27%2F88a-expozebu-dara-destaque-para-pecuaria-sustentavel-carne-e-carbono.ghtml&syn=False&key=a13a7ec2f346b576c9dcab6581d46335
"
        A fascinante história da ilha que deu origem à cidade de Nova York e foi vendida por US$ 1
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=25&r=1684280091404&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2023%2F05%2F14%2Fa-fascinante-historia-da-ilha-que-deu-origem-a-cidade-de-nova-york-e-foi-vendida-por-us-1.ghtml&syn=False&key=f4ea8b808101e0a86cb3096042a75387
"
        Evento de moda sustentável é realizado em São Luís
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=26&r=1684280091408&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11560164%2F&syn=False&key=e97c74f7c71cc5caabe692833fbf28f6
"
        Agrofloresta é alternativa sustentável para produção rural
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=27&r=1684280091412&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11556579%2F&syn=False&key=32c25cc111587f6574e8b76c26e6fc91
"
        Hospital recebe recertificação como signatário do Movimento de Objetivos de Desenvolvimento Sustentável (ODS)
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=28&r=1684280091416&u=https%3A%2F%2Fg1.globo.com%2Fsc%2Fsanta-catarina%2Fespecial-publicitario%2Fgrupo-ezos%2Fgrupo-ezos%2Fnoticia%2F2023%2F04%2F25%2Fhospital-recebe-recertificacao-como-signatario-do-movimento-de-objetivos-de-desenvolvimento-sustentavel-ods.ghtml&syn=False&key=1eeb1a1bbca552c1c9cff0eba198c387
"
        Agrofloresta é alternativa sustentável para a produção rural
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=29&r=1684280091421&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11555728%2F&syn=False&key=adc095b94d63b40289210d6647c8ddb0
"
        Mais Sustentável explica como deve ser a poda e o corte das árvores
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=30&r=1684280091425&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11566770%2F&syn=False&key=d3497a5dd78a0ca7c3bd1af1ee69ae9c
"
        Flores secas é tendência sustentável de decorações e homenagens
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=31&r=1684280092206&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11553861%2F&syn=False&key=b3ba70f03d16a9d3c8798411d2565e0b
"
        Sisteminha Embrapa: projeto permite produção sustentável e integrada de alimentos
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=32&r=1684280092269&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11570324%2F&syn=False&key=266744b3ca1f7917a658b6083b6d1d75
"
        Iniciativa permite que consumidores degustem produtos sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=33&r=1684280092273&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11589036%2F&syn=False&key=fa21de9fb0def8d0ded15849a532bc5c
"
        Lodo de esgoto se mostra uma opção sustentável na fertilização; entenda
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=34&r=1684280092277&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11555456%2F&syn=False&key=6ea574f285ba03c194453bd37646081c
"
        Segunda edição da ExpoAmazônia Bio&Tic é lançada em Manaus
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=35&r=1684280092282&u=https%3A%2F%2Fg1.globo.com%2Fam%2Famazonas%2Fnoticia%2F2023%2F05%2F11%2Fsegunda-edicao-da-expoamazonia-bioandtic-e-lancada-em-manaus.ghtml&syn=False&key=85348255b4b0f47edaadaf822b95658b
"
        Cooperativa do Arquipélago do Bailique faz manejo sustentável do açaí
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=36&r=1684280092286&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11546534%2F&syn=False&key=51ef407cafaa3ac679e8fe2b936b29b3
"
        SESI e Fundação Parque Tecnológico da Paraíba lançam cartilha com orientações nutricionais
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=37&r=1684280092290&u=https%3A%2F%2Fg1.globo.com%2Fpb%2Fparaiba%2Fespecial-publicitario%2Ffiep%2Fespaco-da-industria%2Fnoticia%2F2023%2F05%2F12%2Fsesi-e-fundacao-parque-tecnologico-da-paraiba-lancam-cartilha-com-orientacoes-nutricionais.ghtml&syn=False&key=5a8ea4a44a60b5d0feaa8d469f11fa54
"
        Rota do butiá, criada por gaúchos, ajuda a preservar palmeira nativa ameaçada de extinção
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=38&r=1684280092365&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fagronegocios%2Fglobo-rural%2Fnoticia%2F2023%2F05%2F14%2Frota-do-butia-criada-por-gauchos-ajuda-a-preservar-palmeira-nativa-ameacada-de-extincao.ghtml&syn=False&key=5ecaefca4e654c1b11ad42b8e1b1d2b0
"
        Confira quais são os objetivos de desenvolvimento sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=39&r=1684280092369&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11536246%2F&syn=False&key=d586a99550650de48f4f16de1b7b7b15
"
        Estado lança Agenda Acre 10 anos; plano visa desenvolvimento sustentável e socioeconômico
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=40&r=1684280092373&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11565962%2F&syn=False&key=bca9ec711b4d19b30810de1d70d238ef
"
        Fernando de Noronha quer reduzir dependência de alimentos que ilha tem do continente; saiba como
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=41&r=1684280092378&u=https%3A%2F%2Fg1.globo.com%2Fpe%2Fpernambuco%2Fblog%2Fviver-noronha%2Fpost%2F2023%2F05%2F11%2Ffernando-de-noronha-quer-reduzir-dependencia-de-alimentos-que-ilha-tem-do-continente-saiba-como.ghtml&syn=False&key=d22aeab508d32e55f7244b2991c03656
"
        Tênis feito de plástico dos oceanos, celular com metais reutilizados: veja lista com pegada sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=42&r=1684280092382&u=https%3A%2F%2Fg1.globo.com%2Fespeciais%2Fguia-de-compras%2Ftenis-feito-de-plastico-dos-oceanos-celular-com-metais-reutilizados-veja-lista-com-pegada-sustentavel.ghtml&syn=False&key=845658cb28d1a7d0f0ef33ec830cec37
"
        Orgânicos, Biodinâmicos e Veganos: o futuro dos vinhos chegou
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=43&r=1684280092387&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fparana%2Fespecial-publicitario%2Fporto-a-porto%2Fguia-do-vinho-e-da-gastronomia%2Fnoticia%2F2023%2F05%2F08%2Forganicos-biodinamicos-e-veganos-o-futuro-dos-vinhos-chegou.ghtml&syn=False&key=b4b8559e8c43884084db8bcf630525a5
"
        Fundo Social de Rio Claro transforma banners do carnaval em sacolas sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=44&r=1684280092391&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-carlos-regiao%2Fnoticia%2F2023%2F04%2F29%2Ffundo-social-de-rio-claro-transforma-banners-do-carnaval-em-sacolas-sustentaveis.ghtml&syn=False&key=509dbd2c579d353014625ff91cf9d1b6
"
        Echos da Amazônia: projeto mostra ações sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=45&r=1684280092395&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11579981%2F&syn=False&key=8b49f6a87174fc8466cb38e15927edd9
"
        Cooperativa do Arquipélago do Bailique sustenta famílias de mais de 600 ribeirinhos com manejo sustentável do açaí
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=46&r=1684280092850&u=https%3A%2F%2Fg1.globo.com%2Fprofissao-reporter%2Fnoticia%2F2023%2F04%2F21%2Fcooperativa-do-arquipelago-do-bailique-sustenta-familias-de-mais-de-600-ribeirinhos-com-manejo-sustentavel-do-acai.ghtml&syn=False&key=50f4e62f35c6c2b8e855590d2d5c0fe1
"
        Dicas de Leitura: 'Cartilha Agroecológica' tem informações sobre esse sistema de produção
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=47&r=1684280092853&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11616278%2F&syn=False&key=f0c304f04a7f858c65f33b16cade0d7c
"
        Conheça a cidade de SC que recebeu certificado internacional de destino turístico sustentável; FOTOS
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=48&r=1684280092858&u=https%3A%2F%2Fg1.globo.com%2Fsc%2Fsanta-catarina%2Fnoticia%2F2023%2F03%2F10%2Fconheca-a-cidade-de-sc-que-recebeu-certificado-internacional-de-destino-turistico-sustentavel-fotos.ghtml&syn=False&key=a9681585a78b4ddffb70fdae9413425b
"
        Bancos e tapetes sustentáveis
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=49&r=1684280092861&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11555659%2F&syn=False&key=7d9383e06553aaf3afd27812db5138a0
"
        Desmatamento da Amazônia pode provocar perdas estimadas em US$ 317 bilhões por ano, afirma Banco Mundial
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=50&r=1684280092915&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2023%2F05%2F09%2Fdesmatamento-da-amazonia-pode-provocar-perdas-estimadas-em-us-317-bilhoes-por-ano-afirma-banco-mundial.ghtml&syn=False&key=a00fecc29913e1379511e9aa15950ff7
"
        Parque Ecológico Imigrantes tem estrutura sustentável e filosofia contra o desperdício
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=51&r=1684280092918&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fsao-paulo%2Fantena-paulista%2Fvideo%2Fparque-ecologico-imigrantes-tem-estrutura-sustentavel-e-filosofia-contra-o-desperdicio-11536759.ghtml&syn=False&key=7aab87bacfcf7d53855c1ff8115d00fe
"
        Iniciativas dão destino mais sustentável a toneladas de tecido que iam parar no lixo
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=52&r=1684280092922&u=https%3A%2F%2Fg1.globo.com%2Fjornal-nacional%2Fnoticia%2F2023%2F04%2F15%2Finiciativas-sao-destino-mais-sustentavel-a-toneladas-de-tecido-que-iam-parar-no-lixo.ghtml&syn=False&key=14ff029190e783240937199107b6d03e
"
        Glocal Roraima propõe metas para desenvolvimento sustentável da Amazônia em carta
      ",//g1.globo.com/busca/click?q=sustent%C3%A1vel&p=53&r=1684280092926&u=https%3A%2F%2Fg1.globo.com%2Frr%2Froraima%2Fnoticia%2F2023%2F04%2F12%2Fglocal-roraima-propoe-metas-para-desenvolvimento-sustentavel-da-amazonia-em-carta.ghtml&syn=False&key=c633741f61bdf5fb7a5378fae47b075b
