titulo,link
"
        Rota do butiá, criada por gaúchos, ajuda a preservar palmeira nativa ameaçada de extinção
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=14&r=1684280853981&u=https%3A%2F%2Fg1.globo.com%2Feconomia%2Fagronegocios%2Fglobo-rural%2Fnoticia%2F2023%2F05%2F14%2Frota-do-butia-criada-por-gauchos-ajuda-a-preservar-palmeira-nativa-ameacada-de-extincao.ghtml&syn=False&key=48cc8c9fbb8ce1623c325b6df5bec28a
"
        Estudantes desenvolvem projeto de tintas sustentáveis a partir de materiais recicláveis em Suzano
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=15&r=1684280853983&u=https%3A%2F%2Fg1.globo.com%2Fsp%2Fmogi-das-cruzes-suzano%2Fnoticia%2F2023%2F04%2F11%2Festudantes-desenvolvem-projeto-de-tintas-sustentaveis-a-partir-de-materiais-reciclaveis-em-suzano.ghtml&syn=False&key=3c13ed8d2c9d6eb44277575143937987
"
        A fascinante história da ilha que deu origem à cidade de Nova York e foi vendida por US$ 1
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=16&r=1684280854381&u=https%3A%2F%2Fg1.globo.com%2Fmundo%2Fnoticia%2F2023%2F05%2F14%2Fa-fascinante-historia-da-ilha-que-deu-origem-a-cidade-de-nova-york-e-foi-vendida-por-us-1.ghtml&syn=False&key=9c4a487e7004ad1637d5d55af9f1c542
"
        Projeto de empreendedorismo sustentável para jovens recebe inscrições até domingo, 7
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=17&r=1684280854384&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fsantarem-regiao%2Fnoticia%2F2023%2F05%2F05%2Fprojeto-de-empreendedorismo-sustentavel-para-jovens-recebe-inscricoes-ate-domingo-7.ghtml&syn=False&key=7663decfee073999fd8bbe883022d25c
"
        Governador do AM busca parcerias nos EUA em prol do desenvolvimento sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=18&r=1684280854386&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11601104%2F&syn=False&key=edb9b78ed6d8ac46fdb3b64056a67efd
"
        Encontro aborda empreendedorismo sustentável em Boa Vista
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=19&r=1684280854388&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11597032%2F&syn=False&key=f1f658bfc5fc9aaf688181604dd313da
"
        Cooperativas de crédito paraenses encontram nos princípios ESG o caminho para um futuro sustentável
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=20&r=1684280854391&u=https%3A%2F%2Fg1.globo.com%2Fpa%2Fpara%2Fespecial-publicitario%2Fsicoob%2Fcooperativismo%2Fnoticia%2F2023%2F05%2F02%2Fcooperativas-de-credito-paraenses-encontram-nos-principios-esg-o-caminho-para-um-futuro-sustentavel.ghtml&syn=False&key=2b281487dd93cc5cc1cbf72fafd4d7d5
"
        Economia sustentável: número de brechós aumenta mais de 30% no ES
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=21&r=1684280854393&u=https%3A%2F%2Fg1.globo.com%2Fes%2Fespirito-santo%2Fnoticia%2F2023%2F05%2F07%2Feconomia-sustentavel-numero-de-brechos-aumenta-mais-de-30percent-no-es.ghtml&syn=False&key=305662e6afd45cf44606f6c8fc3da83c
"
        Orgânicos, Biodinâmicos e Veganos: o futuro dos vinhos chegou
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=22&r=1684280854396&u=https%3A%2F%2Fg1.globo.com%2Fpr%2Fparana%2Fespecial-publicitario%2Fporto-a-porto%2Fguia-do-vinho-e-da-gastronomia%2Fnoticia%2F2023%2F05%2F08%2Forganicos-biodinamicos-e-veganos-o-futuro-dos-vinhos-chegou.ghtml&syn=False&key=3bbb8ca9b594be7089df66e94804695b
"
        Interesse por produção sustentável e orgânica aumentou nos últimos 20 anos
      ",//g1.globo.com/busca/click?q=sustent%C3%A1veis&p=23&r=1684280854397&u=https%3A%2F%2Fgloboplay.globo.com%2Fv%2F11593668%2F&syn=False&key=9acf7f1cfd71c92860125b157365d42c
